"year","race","sex","age_group","is_aggregate","pop_total","lf_total","lf_pct","employed_total","employed_pct","unemployed_total","unemployed_pct","not_in_lf"
2025,"White","Total","16-17",FALSE,6751,1809,26.8,1556,23.1,253,14,4942
2025,"White","Total","18-19",FALSE,6040,3144,52.1,2773,45.9,371,11.8,2896
2025,"White","Total","20-24",FALSE,15834,11638,73.5,10803,68.2,835,7.2,4197
2025,"White","Total","25-54",TRUE,96057,80836,84.2,78352,81.6,2485,3.1,15220
2025,"White","Total","25-34",TRUE,32433,27425,84.6,26426,81.5,999,3.6,5008
2025,"White","Total","25-29",FALSE,15817,13252,83.8,12696,80.3,556,4.2,2565
2025,"White","Total","30-34",FALSE,16616,14173,85.3,13730,82.6,443,3.1,2443
2025,"White","Total","35-44",TRUE,33203,28130,84.7,27334,82.3,796,2.8,5073
2025,"White","Total","35-39",FALSE,16733,14209,84.9,13803,82.5,406,2.9,2524
2025,"White","Total","40-44",FALSE,16470,13921,84.5,13530,82.2,390,2.8,2549
2025,"White","Total","45-54",TRUE,30420,25281,83.1,24592,80.8,690,2.7,5139
2025,"White","Total","45-49",FALSE,15298,12912,84.4,12562,82.1,350,2.7,2386
2025,"White","Total","50-54",FALSE,15122,12369,81.8,12030,79.6,339,2.7,2752
2025,"White","Total","55-64",TRUE,32287,21673,67.1,21073,65.3,600,2.8,10615
2025,"White","Total","55-59",FALSE,15644,11836,75.7,11523,73.7,312,2.6,3808
2025,"White","Total","60-64",FALSE,16644,9837,59.1,9549,57.4,288,2.9,6807
2025,"White","Total","65+",TRUE,50546,9505,18.8,9210,18.2,296,3.1,41040
2025,"White","Total","65-69",FALSE,15717,5202,33.1,5057,32.2,145,2.8,10515
2025,"White","Total","70-74",FALSE,13333,2479,18.6,2398,18,81,3.3,10853
2025,"White","Total","75+",FALSE,21496,1824,8.5,1754,8.2,70,3.8,19672
2025,"White","Men","16+",FALSE,102333,69159,67.6,66473,65,2686,3.9,33173
2025,"White","Men","16-19",FALSE,6534,2495,38.2,2157,33,338,13.6,4040
2025,"White","Men","16-17",FALSE,3432,876,25.5,741,21.6,136,15.5,2555
2025,"White","Men","18-19",FALSE,3103,1618,52.2,1416,45.6,203,12.5,1484
2025,"White","Men","20-24",FALSE,7990,6039,75.6,5564,69.6,475,7.9,1951
2025,"White","Men","25-54",TRUE,48405,43672,90.2,42304,87.4,1368,3.1,4733
2025,"White","Men","25-34",TRUE,16313,14769,90.5,14210,87.1,559,3.8,1543
2025,"White","Men","25-29",FALSE,7951,7097,89.3,6786,85.4,311,4.4,853
2025,"White","Men","30-34",FALSE,8362,7672,91.7,7424,88.8,248,3.2,690
2025,"White","Men","35-44",TRUE,16781,15317,91.3,14880,88.7,437,2.9,1463
2025,"White","Men","35-39",FALSE,8446,7748,91.7,7525,89.1,223,2.9,698
2025,"White","Men","40-44",FALSE,8335,7569,90.8,7355,88.2,214,2.8,766
2025,"White","Men","45-54",TRUE,15311,13586,88.7,13214,86.3,372,2.7,1726
2025,"White","Men","45-49",FALSE,7714,6950,90.1,6763,87.7,187,2.7,764
2025,"White","Men","50-54",FALSE,7597,6636,87.3,6451,84.9,184,2.8,962
2025,"White","Men","55-64",TRUE,16012,11636,72.7,11302,70.6,334,2.9,4376
2025,"White","Men","55-59",FALSE,7826,6362,81.3,6191,79.1,170,2.7,1464
2025,"White","Men","60-64",FALSE,8186,5274,64.4,5111,62.4,164,3.1,2912
2025,"White","Men","65+",TRUE,23392,5317,22.7,5147,22,171,3.2,18074
2025,"White","Men","65-69",FALSE,7603,2864,37.7,2778,36.5,86,3,4739
2025,"White","Men","70-74",FALSE,6290,1393,22.1,1350,21.5,43,3.1,4897
2025,"White","Men","75+",FALSE,9498,1061,11.2,1019,10.7,42,4,8437
2025,"White","Women","16+",FALSE,105183,59446,56.5,57293,54.5,2154,3.6,45736
2025,"White","Women","16-19",FALSE,6257,2459,39.3,2173,34.7,286,11.6,3798
2025,"White","Women","16-17",FALSE,3320,933,28.1,816,24.6,118,12.6,2387
