"measure_type","year","reason","demographic","value"
"pct_dist",2025,"On temporary layoff","Men 20+",14.5
"pct_dist",2025,"On temporary layoff","Women 20+",11.9
"pct_dist",2025,"On temporary layoff","Both sexes 16-19",6
"pct_dist",2025,"Not on temporary layoff","Total 16+",34.6
"pct_dist",2025,"Not on temporary layoff","Men 20+",42.2
"pct_dist",2025,"Not on temporary layoff","Women 20+",34.4
"pct_dist",2025,"Not on temporary layoff","Both sexes 16-19",6.4
"pct_dist",2025,"Job leavers","Total 16+",11.4
"pct_dist",2025,"Job leavers","Men 20+",11.2
"pct_dist",2025,"Job leavers","Women 20+",13.6
"pct_dist",2025,"Job leavers","Both sexes 16-19",5
"pct_dist",2025,"Reentrants","Total 16+",31
"pct_dist",2025,"Reentrants","Men 20+",26.9
"pct_dist",2025,"Reentrants","Women 20+",34.3
"pct_dist",2025,"Reentrants","Both sexes 16-19",35.6
"pct_lf",2025,"Job losers and persons who completed temporary jobs","Total 16+",2
"pct_lf",2025,"Job losers and persons who completed temporary jobs","Men 20+",2.3
"pct_lf",2025,"Job losers and persons who completed temporary jobs","Women 20+",1.8
"pct_lf",2025,"Job losers and persons who completed temporary jobs","Both sexes 16-19",1.7
"pct_lf",2025,"Job leavers","Total 16+",0.5
"pct_lf",2025,"Job leavers","Men 20+",0.4
"pct_lf",2025,"Job leavers","Women 20+",0.5
"pct_lf",2025,"Job leavers","Both sexes 16-19",0.7
"pct_lf",2025,"Reentrants","Total 16+",1.3
"pct_lf",2025,"Reentrants","Men 20+",1.1
"pct_lf",2025,"Reentrants","Women 20+",1.3
"pct_lf",2025,"Reentrants","Both sexes 16-19",5
"pct_lf",2025,"New entrants","Total 16+",0.5
"pct_lf",2025,"New entrants","Men 20+",0.2
"pct_lf",2025,"New entrants","Women 20+",0.2
"pct_lf",2025,"New entrants","Both sexes 16-19",6.6
