"year","occupation","occ_level","occ_group","occ_subgroup","total_16plus","men_16plus","men_20plus","women_16plus","women_20plus"
2021,"Life, physical, and social science occupations",2,"management_professional","professional_related",1640,863,857,777,773
2021,"Community and social service occupations",2,"management_professional","professional_related",2777,902,900,1876,1863
2021,"Legal occupations",2,"management_professional","professional_related",1805,840,838,965,961
2021,"Education, training, and library occupations",2,"management_professional","professional_related",8946,2351,2321,6595,6505
2021,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3151,1577,1540,1574,1528
2021,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",9639,2477,2462,7162,7125
2021,"Service occupations",0,"service",NA,24403,10328,9360,14075,12884
2021,"Healthcare support occupations",1,"service",NA,4887,728,702,4158,4060
2021,"Protective service occupations",1,"service",NA,2987,2276,2211,711,676
2021,"Food preparation and serving related occupations",1,"service",NA,7370,3343,2662,4027,3204
2021,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5482,3198,3057,2285,2211
2021,"Personal care and service occupations",1,"service",NA,3676,783,728,2893,2734
2021,"Sales and office occupations",0,"sales_office",NA,30166,11604,11074,18563,17597
2021,"Sales and related occupations",1,"sales_office",NA,14369,7219,6874,7150,6485
2021,"Office and administrative support occupations",1,"sales_office",NA,15797,4384,4200,11413,11112
2021,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,13959,13181,12837,778,755
2021,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,1061,804,759,257,242
2021,"Construction and extraction occupations",1,"natural_resources_construction",NA,8057,7746,7542,311,309
2021,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,4840,4630,4536,210,204
2021,"Production, transportation, and material moving occupations",0,"production_transportation",NA,19309,14608,13997,4700,4487
2021,"Production occupations",1,"production_transportation",NA,7950,5703,5564,2247,2180
2021,"Transportation and material moving occupations",1,"production_transportation",NA,11359,8906,8433,2453,2307
2022,"Management, professional, and related occupations",0,"management_professional",NA,68099,33016,32814,35083,34787
2022,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",29350,16188,16128,13162,13094
2022,"Management occupations",2,"management_professional","management_business_financial",20199,12026,11986,8172,8127
2022,"Business and financial operations occupations",2,"management_professional","management_business_financial",9152,4162,4142,4990,4966
2022,"Professional and related occupations",1,"management_professional","professional_related",38749,16828,16687,21921,21693
2022,"Computer and mathematical occupations",2,"management_professional","professional_related",6171,4521,4500,1650,1640
2022,"Architecture and engineering occupations",2,"management_professional","professional_related",3464,2905,2891,559,555
2022,"Life, physical, and social science occupations",2,"management_professional","professional_related",1840,953,945,887,882
2022,"Community and social service occupations",2,"management_professional","professional_related",2945,967,957,1978,1968
2022,"Legal occupations",2,"management_professional","professional_related",1861,882,881,979,978
2022,"Education, training, and library occupations",2,"management_professional","professional_related",9220,2461,2437,6758,6655
2022,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3441,1761,1710,1680,1627
2022,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",9808,2379,2366,7429,7389
2022,"Service occupations",0,"service",NA,25438,10935,9899,14503,13227
2022,"Healthcare support occupations",1,"service",NA,4930,757,740,4173,4080
2022,"Protective service occupations",1,"service",NA,3057,2346,2283,711,659
2022,"Food preparation and serving related occupations",1,"service",NA,7907,3690,2953,4218,3343
2022,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5576,3235,3110,2341,2281
2022,"Personal care and service occupations",1,"service",NA,3968,907,812,3061,2865
2022,"Sales and office occupations",0,"sales_office",NA,30412,11764,11176,18649,17654
2022,"Sales and related occupations",1,"sales_office",NA,14316,7237,6847,7079,6392
2022,"Office and administrative support occupations",1,"sales_office",NA,16096,4527,4329,11570,11263
