"year","section","sex","age_group","race","marital_status","total_unemployed","less_5_weeks","5_to_14_weeks","15_plus_weeks","15_to_26_weeks","27_plus_weeks","avg_duration","median_duration"
2020,"race","Total","Asian, 16+","Asian",NA,894,202,335,357,201,156,18.4,11.2
2020,"race","Men",NA,"Asian",NA,427,100,161,166,92,75,18.1,11
2020,"race","Women",NA,"Asian",NA,467,102,174,191,109,81,18.7,11.3
2020,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,3018,898,1100,1020,575,445,15.6,9.6
2020,"race","Men",NA,"Hispanic or Latino",NA,1598,482,584,531,295,236,15.7,9.5
2020,"race","Women",NA,"Hispanic or Latino",NA,1421,416,516,488,280,209,15.5,9.7
2020,"marital","Men",NA,NA,"Married, spouse present",2271,665,834,772,427,345,15.9,9.6
2020,"marital","Men",NA,NA,"Widowed, divorced, or  separated",847,222,290,335,170,166,19.4,11.1
2020,"marital","Men",NA,NA,"Never married",3526,1015,1234,1277,690,587,17.4,9.9
2020,"marital","Women",NA,NA,"Married, spouse present",2347,654,908,785,468,317,15.3,9.5
2020,"marital","Women",NA,NA,"Widowed, divorced, or  separated",1143,300,413,430,250,181,17.4,10.3
2020,"marital","Women",NA,NA,"Never married",2813,852,1049,912,512,400,15.6,9.3
2021,"age_sex","Total","16+",NA,NA,8623,2140,1981,4501,1164,3337,28.7,16.5
2021,"age_sex","Total","16-19",NA,NA,696,322,204,170,72,98,13.7,5.8
2021,"age_sex","Total","20-24",NA,NA,1317,412,366,539,178,361,21.8,10.6
2021,"age_sex","Total","25-34",NA,NA,2092,492,502,1098,302,796,28.2,16.6
2021,"age_sex","Total","35-44",NA,NA,1586,341,347,897,221,676,31,20.2
2021,"age_sex","Total","45-54",NA,NA,1323,267,271,784,177,607,31.8,22.9
2021,"age_sex","Total","55-64",NA,NA,1138,212,204,722,154,568,36.2,27.3
2021,"age_sex","Total","65+",NA,NA,472,94,87,292,60,232,37.1,26.8
2021,"age_sex","Men","16+",NA,NA,4676,1112,1063,2501,655,1846,29.1,17.5
2021,"age_sex","Men","16-19",NA,NA,373,163,114,96,43,53,13.7,6.7
